Areaname,STCOU,PST045202D
"Miami, IN",18103,36761
"Monroe, IN",18105,121318
"Montgomery, IN",18107,37745
"Morgan, IN",18109,67792
"Newton, IN",18111,14252
"Noble, IN",18113,46843
"Ohio, IN",18115,5739
"Orange, IN",18117,19371
"Owen, IN",18119,22267
"Parke, IN",18121,17273
"Perry, IN",18123,18798
"Pike, IN",18125,12840
"Porter, IN",18127,149950
"Posey, IN",18129,26918
"Pulaski, IN",18131,13731
"Putnam, IN",18133,36196
"Randolph, IN",18135,26882
"Ripley, IN",18137,27131
"Rush, IN",18139,17977
"St. Joseph, IN",18141,265179
"Scott, IN",18143,23257
"Shelby, IN",18145,43642
"Spencer, IN",18147,20182
"Starke, IN",18149,23369
"Steuben, IN",18151,33350
"Sullivan, IN",18153,21710
"Switzerland, IN",18155,9501
"Tippecanoe, IN",18157,151468
"Tipton, IN",18159,16458
"Union, IN",18161,7262
"Vanderburgh, IN",18163,172183
"Vermillion, IN",18165,16496
"Vigo, IN",18167,104829
"Wabash, IN",18169,34357
"Warren, IN",18171,8605
"Warrick, IN",18173,53150
"Washington, IN",18175,27582
"Wayne, IN",18177,70163
"Wells, IN",18179,27719
"White, IN",18181,24952
"Whitley, IN",18183,31272
IOWA,19000,2929264
"Adair, IA",19001,7964
"Adams, IA",19003,4350
"Allamakee, IA",19005,14309
"Appanoose, IA",19007,13377
"Audubon, IA",19009,6549
"Benton, IA",19011,25991
"Black Hawk, IA",19013,126628
"Boone, IA",19015,26032
"Bremer, IA",19017,23202
"Buchanan, IA",19019,20761
"Buena Vista, IA",19021,20142
"Butler, IA",19023,14826
"Calhoun, IA",19025,10719
"Carroll, IA",19027,21138
"Cass, IA",19029,14214
"Cedar, IA",19031,18049
"Cerro Gordo, IA",19033,45263
"Cherokee, IA",19035,12530
"Chickasaw, IA",19037,12763
"Clarke, IA",19039,9168
"Clay, IA",19041,17071
"Clayton, IA",19043,18211
"Clinton, IA",19045,49614
"Crawford, IA",19047,16847
"Dallas, IA",19049,44324
"Davis, IA",19051,8565
"Decatur, IA",19053,8543
"Delaware, IA",19055,18123
"Des Moines, IA",19057,41307
"Dickinson, IA",19059,16343
"Dubuque, IA",19061,89218
"Emmet, IA",19063,10795
"Fayette, IA",19065,21424
"Floyd, IA",19067,16589
"Franklin, IA",19069,10636
"Fremont, IA",19071,7766
"Greene, IA",19073,10092
"Grundy, IA",19075,12303
"Guthrie, IA",19077,11214
"Hamilton, IA",19079,16204
"Hancock, IA",19081,11760
"Hardin, IA",19083,18419
"Harrison, IA",19085,15497
"Henry, IA",19087,19967
"Howard, IA",19089,9794
"Humboldt, IA",19091,10073
"Ida, IA",19093,7550
"Iowa, IA",19095,15756
"Jackson, IA",19097,20116
"Jasper, IA",19099,37366
"Jefferson, IA",19101,15806
"Johnson, IA",19103,115560
"Jones, IA",19105,20150
"Keokuk, IA",19107,11341
"Kossuth, IA",19109,16499
"Lee, IA",19111,36858
"Linn, IA",19113,195918
"Louisa, IA",19115,12195
"Lucas, IA",19117,9438
"Lyon, IA",19119,11581
"Madison, IA",19121,14315
"Mahaska, IA",19123,22309
"Marion, IA",19125,32412
"Marshall, IA",19127,39033
"Mills, IA",19129,14533
"Mitchell, IA",19131,10826
"Monona, IA",19133,9705
"Monroe, IA",19135,7793
"Montgomery, IA",19137,11300
"Muscatine, IA",19139,41803
"O'Brien, IA",19141,14681
"Osceola, IA",19143,6849
"Page, IA",19145,16425
"Palo Alto, IA",19147,9843
"Plymouth, IA",19149,24552
"Pocahontas, IA",19151,8336
"Polk, IA",19153,385838
"Pottawattamie, IA",19155,87944
"Poweshiek, IA",19157,18755
"Ringgold, IA",19159,5294
"Sac, IA",19161,11040
"Scott, IA",19163,158677
"Shelby, IA",19165,12836
"Sioux, IA",19167,31795
"Story, IA",19169,81612
"Tama, IA",19171,17901
"Taylor, IA",19173,6810
"Union, IA",19175,12083
"Van Buren, IA",19177,7736
"Wapello, IA",19179,35803
"Warren, IA",19181,41282
"Washington, IA",19183,20982
"Wayne, IA",19185,6635
"Webster, IA",19187,39672
"Winnebago, IA",19189,11329
"Winneshiek, IA",19191,21123
"Woodbury, IA",19193,102981
"Worth, IA",19195,7794
"Wright, IA",19197,13819
KANSAS,20000,2712598
"Allen, KS",20001,14067
"Anderson, KS",20003,8090
"Atchison, KS",20005,16699
"Barber, KS",20007,5023
"Barton, KS",20009,27861
"Bourbon, KS",20011,15153
"Brown, KS",20013,10389
"Butler, KS",20015,60119
"Chase, KS",20017,3020
"Chautauqua, KS",20019,4192
"Cherokee, KS",20021,22043
"Cheyenne, KS",20023,3016
"Clark, KS",20025,2320
"Clay, KS",20027,8645
